distance_km,traffic_level,prep_time_min,delivery_time_min
5.19,1,11.1,38.6
1.35,2,14.2,38.3
4.12,2,10.2,32.8
9.12,2,9.3,48.4
5.69,2,8.9,42.3
2.98,3,6.0,33.7
14.19,2,12.0,66.6
1.29,3,9.7,32.8
6.99,2,18.1,61.5
8.23,3,10.1,57.3
5.28,3,16.8,50.0
1.82,2,3.0,27.9
1.96,3,13.8,35.3
5.78,2,13.2,46.2
7.69,3,16.5,59.4
2.27,2,19.2,41.8
3.97,1,13.8,36.2
6.39,3,18.6,60.1
3.36,1,10.7,28.7
3.31,1,10.0,30.8
4.95,1,16.3,44.5
5.38,2,13.2,41.5
12.24,2,16.5,73.6
4.22,2,8.6,38.1
4.2,2,10.8,34.2
2.44,3,13.1,43.2
4.9,1,12.0,38.2
4.69,1,15.7,36.4
4.47,3,23.6,58.0
3.48,2,11.4,32.3
6.11,1,17.8,42.9
9.28,3,11.1,57.7
3.46,2,6.2,34.2
5.73,1,6.1,41.0
9.78,1,8.2,49.2
4.89,3,3.8,41.5
9.84,1,11.3,53.6
3.32,2,14.7,41.2
4.36,1,3.1,30.9
4.19,2,10.4,37.9
5.01,2,7.0,40.2
8.39,1,17.1,55.3
3.6,1,17.1,35.5
2.51,1,13.3,32.4
9.63,1,12.3,58.1
7.7,1,10.3,37.3
1.44,1,11.5,24.1
6.04,1,18.4,50.9
10.71,1,14.6,61.1
5.02,2,13.1,44.2
3.51,2,19.4,46.1
7.0,3,12.9,52.4
6.48,2,13.4,50.4
3.03,2,10.2,35.9
3.37,3,5.6,38.2
3.7,1,12.4,31.9
3.32,3,10.3,41.3
1.11,1,15.5,22.3
1.43,3,6.4,33.8
4.21,2,6.6,40.6
6.38,1,12.0,38.2
2.33,2,8.8,31.0
6.45,1,9.7,33.9
4.74,1,11.9,39.6
3.71,1,7.8,27.9
8.61,3,11.2,58.3
12.81,3,19.3,76.5
4.86,3,12.1,43.6
5.88,1,10.5,41.0
4.34,3,12.6,46.8
8.2,1,8.9,48.3
4.41,1,13.6,39.6
2.1,1,15.5,28.3
1.75,2,9.6,36.2
3.18,3,9.8,32.6
2.18,2,13.7,37.3
2.75,1,5.0,26.6
3.26,1,17.1,41.8
2.95,2,8.8,28.5
5.79,1,4.2,34.4
2.67,1,12.1,26.2
2.24,2,7.4,37.3
1.57,1,6.2,13.4
9.28,2,7.7,53.2
4.11,2,11.7,41.4
5.55,2,13.5,43.2
5.85,2,4.3,35.3
1.83,1,11.5,37.1
4.55,3,7.9,40.7
4.45,2,10.6,38.3
1.86,3,14.0,40.6
3.2,1,12.9,32.7
6.19,2,16.3,44.4
7.53,2,7.8,42.8
18.17,1,11.9,76.8
13.68,2,13.4,70.0
4.59,2,9.2,40.0
5.05,3,8.4,43.4
4.27,1,5.6,28.7
2.91,2,5.9,32.4
6.95,2,19.1,54.2
8.52,3,9.2,57.3
3.18,3,12.1,44.0
2.91,1,12.4,30.9
3.38,1,10.1,30.1
1.04,1,12.4,29.3
5.2,1,13.7,42.8
12.46,1,8.7,69.5
4.78,2,16.6,48.3
2.19,2,12.4,35.0
4.78,1,10.1,38.4
6.62,2,10.8,48.5
3.99,2,16.6,46.9
2.6,1,18.1,34.6
4.63,2,9.5,36.8
4.34,1,13.5,30.3
5.32,2,9.5,45.0
7.59,2,7.8,42.5
2.72,1,11.6,35.4
4.04,2,13.5,38.5
4.95,3,19.6,50.8
6.44,2,8.2,40.9
4.66,1,7.4,30.7
7.59,1,3.6,40.6
5.26,1,6.3,33.8
1.6,1,14.2,27.0
10.08,1,13.9,63.6
3.07,1,19.0,30.9
8.47,1,15.6,53.0
9.96,1,11.2,54.7
2.82,2,14.4,40.3
1.71,1,17.5,39.1
3.83,2,5.4,34.0
3.27,3,4.1,29.2
6.44,1,13.2,48.4
0.73,2,13.9,28.0
5.76,3,4.4,40.2
3.01,2,10.2,36.1
1.79,3,7.0,30.0
4.79,2,13.2,41.9
3.05,1,17.4,37.9
8.11,2,15.5,51.7
6.4,2,16.9,53.8
2.87,2,10.2,29.7
5.82,2,9.2,40.3
3.76,3,16.0,41.3
14.95,2,9.5,74.5
2.82,2,12.3,39.6
7.58,1,14.4,48.6
6.26,3,7.5,47.9
3.29,1,3.1,20.9
2.53,2,16.7,45.7
4.52,1,11.4,33.9
3.03,2,15.3,38.2
13.19,1,13.8,67.0
0.7,2,5.4,20.5
4.85,2,12.9,38.6
3.89,1,9.6,39.3
7.34,1,10.8,44.0
8.83,1,9.7,45.3
5.12,1,11.8,39.2
4.16,1,13.2,32.3
3.25,2,8.7,28.8
5.42,2,14.6,37.8
9.33,1,19.7,59.4
2.21,1,11.3,34.5
8.82,3,17.9,59.8
8.08,1,11.4,48.3
3.68,3,10.3,36.8
3.2,1,8.4,33.5
3.95,3,17.1,49.0
5.3,1,11.4,41.1
3.26,1,8.7,27.5
7.5,2,16.2,51.6
1.84,1,10.8,25.2
7.33,3,13.0,58.5
2.04,2,4.8,27.0
5.67,2,8.6,38.2
11.05,1,10.5,62.0
1.32,2,14.3,34.4
2.77,1,14.0,33.2
6.47,1,12.8,42.2
2.02,1,9.7,25.9
5.77,2,17.3,51.6
2.73,3,11.1,36.9
1.42,2,11.0,41.7
11.45,1,6.1,52.1
4.14,2,15.3,39.0
2.39,2,15.6,40.5
3.92,1,16.8,36.9
2.98,1,9.2,26.4
2.91,1,17.2,30.2
10.02,2,13.5,57.9
3.55,1,4.0,25.8
6.59,1,12.6,37.9
5.63,1,9.9,37.9
5.37,1,14.3,46.2
2.2,1,8.0,26.7
2.46,1,6.7,24.3
3.95,3,10.6,39.5
8.26,1,21.7,60.9
1.33,2,10.2,29.0
5.91,3,9.4,54.5
6.28,1,8.2,32.3
4.32,2,5.5,33.6
5.03,3,8.3,45.2
2.82,2,14.7,38.5
6.73,2,6.3,44.6
1.26,3,9.2,35.5
8.81,2,10.0,45.2
3.15,1,14.1,39.3
17.22,1,11.5,78.7
6.39,2,10.3,51.4
8.2,1,19.8,56.6
6.88,2,18.1,54.8
5.07,2,14.3,35.6
9.88,3,8.3,61.3
7.09,2,12.0,44.9
9.8,2,3.9,55.6
4.49,2,4.5,31.4
3.53,1,8.3,31.3
9.72,2,11.3,59.5
5.78,2,13.5,46.4
11.75,2,10.3,60.3
6.78,3,5.8,58.0
3.83,2,11.1,33.4
7.5,3,11.1,52.9
6.72,3,14.1,51.5
5.91,2,15.5,53.1
4.9,3,14.1,52.1
2.27,1,17.0,32.6
6.34,2,13.9,46.2
2.21,1,12.0,27.7
4.05,2,15.9,46.0
11.78,2,13.4,71.1
4.2,2,5.5,32.8
8.31,2,14.9,55.8
3.62,3,14.3,53.4
4.46,2,8.0,43.4
4.62,1,15.4,40.8
7.35,1,7.1,39.9
7.65,2,20.1,60.2
1.9,2,3.0,23.3
6.7,1,13.4,45.7
7.12,2,9.2,48.8
1.99,1,10.5,29.0
10.6,2,14.6,64.1
9.4,2,14.8,63.3
4.43,2,15.5,47.1
3.36,3,16.9,47.1
1.89,2,7.7,26.2
5.53,1,11.2,37.6
7.99,2,10.7,57.7
3.6,1,12.2,35.5
6.75,2,3.7,46.4
6.94,1,16.5,45.2
4.4,1,14.0,41.7
3.33,3,15.3,54.5
5.39,2,13.9,42.8
7.26,3,9.1,57.7
3.28,2,8.3,32.5
2.28,3,9.3,36.9
2.41,2,5.5,27.0
4.11,3,8.4,41.3
2.05,3,10.5,37.5
3.1,1,12.3,27.8
1.76,2,9.3,32.3
5.81,1,19.2,45.7
5.05,1,9.4,33.5
4.98,2,12.6,50.1
2.45,1,12.7,32.7
3.13,1,5.8,23.7
2.47,1,13.1,31.0
3.22,1,4.5,23.8
0.64,3,9.5,25.6
4.69,2,9.0,42.1
6.96,1,9.7,36.9
3.2,3,13.7,43.0
3.66,2,17.2,35.8
4.51,2,12.7,43.7
2.64,2,14.8,36.6
6.04,1,9.6,40.2
3.53,2,8.3,34.8
9.15,1,12.4,52.3
1.51,3,7.9,32.9
8.51,1,12.6,47.0
6.69,1,16.1,40.0
5.41,1,17.1,50.4
9.87,1,17.6,56.7
9.53,2,7.7,58.8
14.84,1,14.6,74.7
3.58,1,12.9,33.2
1.99,1,11.2,25.3
1.34,3,8.1,34.4
3.53,1,12.7,35.8
7.95,2,17.2,57.5
2.11,3,12.6,39.7
4.58,1,11.7,38.0
2.11,2,18.3,37.7
7.53,2,11.6,46.0
2.99,1,12.4,33.9
8.72,2,18.9,57.9
7.92,1,20.0,56.0
7.55,2,12.6,50.6
5.29,3,11.8,44.7
8.05,3,10.3,51.7
2.73,3,9.3,34.7
6.2,1,10.4,39.1
14.4,2,15.7,75.7
14.57,2,18.6,82.0
5.32,2,9.1,39.8
2.5,3,11.6,37.8
10.81,2,13.6,59.2
3.5,2,12.8,40.0
11.28,1,9.4,51.8
5.67,3,7.4,44.1
5.58,1,5.3,35.4
11.5,1,12.6,62.2
4.68,2,13.3,46.1
5.42,1,12.2,41.9
4.08,2,14.8,43.6
1.78,2,10.9,31.4
7.57,1,11.1,49.6
5.55,2,3.2,36.1
8.17,3,18.4,58.3
4.99,3,7.7,45.2
2.78,3,15.3,42.3
3.03,1,18.2,39.4
1.67,1,12.8,27.3
3.48,2,14.4,37.6
6.3,2,12.6,49.5
5.8,2,14.4,47.5
3.75,1,11.6,30.6
3.93,1,6.4,24.1
3.5,1,11.4,29.1
3.73,2,5.2,36.1
7.83,2,13.8,59.3
1.73,3,12.7,40.8
6.25,1,16.0,41.7
3.68,2,9.2,34.3
2.81,3,6.9,35.9
4.47,1,13.0,38.6
4.42,1,10.5,31.5
5.56,3,10.4,51.2
2.97,2,8.0,35.8
7.7,1,8.8,41.2
4.46,1,14.5,36.1
7.46,1,11.4,47.4
1.1,3,12.6,39.3
7.87,2,19.3,60.8
4.83,2,16.5,42.4
3.02,2,12.2,30.9
5.15,2,16.3,47.9
3.11,1,9.0,32.6
4.24,3,8.4,44.8
4.93,2,12.6,39.6
11.56,3,13.4,71.7
7.08,1,12.5,46.9
2.98,3,19.3,45.6
4.85,2,6.8,33.0
11.21,1,15.2,68.0
7.24,2,13.8,53.3
13.47,1,14.9,70.5
10.96,2,10.0,68.1
3.54,3,8.6,42.2
1.28,1,10.9,22.5
5.93,2,11.3,44.1
14.38,3,6.6,77.8
7.17,1,14.2,47.4
5.45,2,8.5,39.4
8.6,3,5.9,60.5
6.88,2,13.2,51.0
4.78,2,11.7,43.7
3.21,1,6.6,30.9
3.03,2,9.7,28.9
3.36,1,9.1,28.9
2.64,1,8.4,28.1
3.95,1,7.0,29.5
5.86,1,11.4,42.9
2.84,1,13.6,29.1
6.31,2,9.4,41.3
5.76,1,15.1,43.2
2.15,1,12.8,29.4
2.99,3,17.0,41.1
1.46,3,13.0,38.4
6.46,2,9.7,50.1
2.95,2,12.9,36.1
7.2,3,12.3,51.9
9.68,1,6.7,54.9
2.43,3,8.5,43.8
3.84,1,14.0,35.3
3.42,1,8.9,33.2
7.57,1,14.7,46.4
7.45,2,6.4,45.7
1.76,2,12.3,28.5
5.72,1,10.1,38.2
4.36,2,7.7,42.5
7.65,1,9.5,45.0
2.12,2,9.1,34.1
3.97,2,19.2,40.8
7.52,3,14.7,60.3
13.08,1,10.4,62.3
3.02,2,18.3,45.4
3.18,2,12.0,34.0
6.2,2,11.0,46.3
5.39,2,15.2,40.6
4.46,1,13.0,34.8
2.99,1,11.3,35.4
12.15,2,9.1,63.8
8.71,2,10.6,49.9
3.33,2,9.6,39.6
4.93,1,7.7,35.8
8.8,1,9.5,47.5
8.89,1,9.1,49.0
6.31,1,7.2,36.9
4.49,2,8.4,40.4
12.6,2,15.0,76.5
3.43,2,15.6,34.5
5.08,1,12.3,39.7
3.57,3,8.7,31.4
7.47,3,9.8,53.8
3.37,2,12.0,34.7
7.55,3,15.4,61.3
9.17,1,9.3,49.7
7.2,3,7.3,54.2
2.26,2,8.2,31.5
3.79,2,11.2,42.1
2.93,3,13.3,37.3
4.66,3,16.9,46.3
2.15,2,4.4,20.3
2.6,2,9.2,30.9
4.97,2,12.2,40.2
8.8,2,6.7,55.2
8.77,1,9.5,51.8
3.91,1,5.2,30.0
3.78,1,10.3,32.8
10.43,3,15.0,71.0
11.38,2,18.2,65.3
4.27,3,9.2,45.5
3.68,2,11.3,36.0
3.16,1,16.6,42.0
4.95,2,14.9,45.7
6.69,2,14.0,50.3
3.55,2,14.0,38.0
8.0,2,11.0,54.0
2.67,1,8.1,30.7
7.44,3,10.5,59.3
11.16,1,14.8,59.1
6.21,2,11.8,48.0
3.02,2,14.7,37.7
4.51,3,14.5,50.1
3.8,1,12.9,35.6
6.78,1,13.9,43.5
9.92,1,6.2,46.7
7.97,3,9.8,60.3
6.18,3,13.7,56.3
3.71,2,10.2,36.4
3.83,1,7.5,29.6
5.33,2,11.6,46.2
12.33,2,7.4,60.8
11.98,2,15.8,71.1
16.18,3,13.8,86.6
7.0,2,11.1,46.7
7.54,3,13.8,49.5
2.93,1,10.3,34.4
3.63,2,16.9,46.6
1.98,2,8.9,23.7
3.48,2,16.8,43.0
5.02,1,11.9,34.8
4.61,1,12.5,38.5
2.09,1,9.3,33.2
1.88,3,10.7,46.2
6.89,2,14.0,53.1
2.53,1,11.6,32.7
7.5,1,10.7,43.2
4.95,1,19.3,47.0
3.58,2,8.4,37.6
4.16,1,9.8,36.9
7.27,1,7.3,40.7
3.75,2,4.8,30.4
6.58,1,12.7,46.9
9.29,1,13.0,55.7
11.07,2,8.6,58.9
3.7,3,7.2,38.4
9.25,2,13.9,50.6
4.92,2,8.8,34.4
1.62,1,18.7,32.8
2.55,2,17.4,40.9
2.1,1,13.6,25.2
2.53,2,11.0,32.9
3.92,3,14.2,44.3
1.77,2,5.8,25.1
8.27,2,14.9,59.9
5.24,2,17.8,52.7
10.21,2,5.9,47.4
11.99,2,10.6,67.6
10.78,2,15.0,65.5
11.25,2,12.0,61.6
11.14,2,10.6,63.9
4.22,3,17.4,50.9
4.99,3,13.0,53.1
4.44,1,15.6,40.2
8.64,3,10.3,55.7
6.68,2,12.2,45.3
5.17,3,7.2,48.2
2.35,3,5.6,26.3
4.42,1,8.2,34.0
7.36,3,13.4,65.8
8.05,2,15.9,58.7
2.05,1,7.4,26.0
2.68,2,16.4,37.1
5.85,2,9.3,36.7
5.6,2,6.7,38.8
5.95,2,13.0,51.3
3.51,2,13.3,27.6
5.61,2,9.7,38.5
9.19,1,12.3,49.6
9.48,3,13.5,62.5
3.22,2,13.8,33.4
4.06,3,10.4,46.3
9.71,2,9.4,51.1
4.56,2,23.4,52.1
10.31,2,14.2,56.2
8.62,2,8.3,51.9
4.38,1,13.4,35.3
5.29,1,14.3,34.3
5.66,2,14.7,46.1
4.53,1,6.0,33.9
4.22,2,10.7,42.6
5.42,2,13.8,49.2
1.92,1,15.5,27.8
1.69,1,16.9,35.9
3.11,2,12.7,37.8
4.13,3,8.6,43.5
3.12,1,20.0,42.3
5.88,1,8.0,31.4
3.02,2,12.2,39.2
7.04,1,16.4,43.6
1.79,1,11.6,29.7
3.31,1,17.5,36.4
2.17,1,14.3,33.1
12.71,2,15.0,68.5
1.69,1,17.2,29.5
4.92,2,13.2,45.9
6.25,1,6.7,36.0
1.02,2,16.0,39.3
9.39,2,14.8,58.5
7.48,1,13.1,52.4
2.16,1,13.3,25.1
3.19,2,10.1,38.5
7.03,1,9.1,41.0
2.47,3,14.8,45.2
5.42,1,8.9,34.1
3.41,1,15.3,36.9
4.32,1,10.6,36.2
2.36,3,10.3,35.0
4.5,2,8.2,38.8
5.33,3,10.2,46.0
5.09,2,12.6,39.6
6.29,2,12.5,50.4
8.75,2,12.9,54.9
3.25,1,14.7,28.8
4.66,2,10.7,42.4
8.85,1,12.3,49.4
3.02,3,9.8,39.7
2.57,1,15.6,33.6
4.88,1,16.3,42.8
3.98,2,14.4,38.9
1.95,1,18.7,31.6
6.21,2,10.1,48.6
5.32,1,9.5,34.5
7.82,1,12.0,46.1
3.62,1,21.4,35.1
5.09,2,14.7,47.2
12.94,3,14.3,75.3
10.87,3,12.5,68.2
8.49,3,16.5,67.4
9.13,1,14.4,55.2
5.44,1,17.3,45.0
3.08,2,15.5,45.5
11.08,2,18.4,71.6
3.65,2,5.8,35.6
12.95,3,11.2,73.3
4.7,2,12.7,43.6
6.52,1,7.1,42.8
8.08,1,10.3,43.1
4.22,3,16.4,46.6
7.61,1,14.7,46.9
12.35,1,17.3,62.8
2.85,3,8.9,36.0
6.45,2,17.5,54.0
3.49,2,10.4,40.7
7.6,3,15.6,60.1
6.85,2,10.9,49.7
3.77,1,16.7,40.6
5.0,1,13.6,46.6
8.99,2,11.3,55.0
5.8,2,11.5,45.2
5.92,1,13.6,42.6
6.43,2,19.7,54.5
2.5,1,9.6,21.1
3.89,1,16.6,40.7
3.96,1,14.0,42.0
1.99,1,14.4,26.1
5.13,1,15.5,42.5
11.65,3,16.3,80.1
1.35,2,12.1,35.1
3.75,1,11.5,37.4
2.26,2,10.2,29.0
3.14,1,15.9,36.3
3.89,3,17.5,49.2
7.46,1,17.2,49.0
3.87,1,14.4,32.9
3.9,1,13.1,32.1
6.85,2,10.3,42.5
4.14,1,14.6,34.3
4.55,3,11.4,44.9
1.89,1,10.2,25.1
5.46,2,9.9,40.7
2.7,3,7.8,36.8
5.9,1,13.8,45.4
4.24,1,12.5,30.5
1.45,3,17.8,42.8
3.08,3,11.8,38.1
9.95,2,22.9,73.8
10.85,2,13.9,63.1
4.4,1,11.2,36.0
11.65,2,15.7,69.6
2.59,1,11.4,34.4
2.23,1,17.2,29.3
6.3,2,9.5,45.1
6.77,3,7.9,46.9
4.81,1,21.8,52.4
3.91,2,15.0,38.4
3.49,1,14.3,37.6
1.75,2,10.6,29.7
7.78,1,10.2,50.3
8.51,3,11.4,57.4
3.94,3,13.9,43.8
2.16,1,13.7,33.9
4.96,3,6.1,39.9
1.61,3,17.4,39.5
2.19,2,15.0,44.2
9.83,2,16.7,70.0
6.97,1,7.7,38.4
3.95,2,11.5,38.4
2.71,2,10.4,42.4
4.34,2,12.3,42.6
4.2,2,5.4,33.6
3.99,1,15.8,37.5
2.12,1,10.4,27.5
4.3,1,3.0,27.3
3.91,2,14.6,39.8
4.05,2,8.7,34.7
3.29,1,16.4,37.5
1.16,2,5.3,24.5
7.04,3,10.4,52.2
5.86,1,6.8,38.9
2.64,1,14.3,36.6
14.99,3,7.8,76.4
1.68,1,7.5,17.4
2.21,2,9.3,33.9
3.44,1,9.0,37.1
7.25,2,16.4,48.7
1.35,2,10.5,32.0
9.09,1,10.6,47.5
12.98,2,12.4,74.6
7.75,2,12.7,45.7
17.74,1,12.7,76.7
5.51,1,10.4,37.6
4.64,2,10.6,39.4
2.19,1,10.5,29.3
5.63,1,12.1,45.2
10.38,1,11.8,52.1
6.41,2,17.0,48.6
5.59,2,7.6,48.2
3.34,3,7.4,40.6
9.36,2,12.1,51.8
6.16,1,12.9,32.6
4.38,2,15.8,45.7
1.72,2,14.2,33.4
2.38,1,13.7,35.6
4.43,1,19.7,42.9
12.24,1,16.1,69.5
1.86,2,9.2,36.4
2.79,1,13.8,28.6
6.22,1,9.0,36.8
7.61,2,12.7,51.4
11.62,2,10.3,62.6
5.35,2,10.3,41.7
6.6,1,8.7,44.5
5.09,2,12.3,45.4
5.12,2,13.6,48.5
3.42,2,14.0,36.2
8.91,2,12.8,47.8
14.0,2,11.8,69.6
6.04,3,13.3,49.8
4.3,3,16.6,49.8
3.26,1,8.8,28.3
2.75,2,6.4,28.1
8.65,1,11.4,50.9
4.22,2,10.9,38.9
1.48,3,16.1,38.7
5.85,1,16.4,45.5
4.46,1,17.6,38.4
6.72,2,7.0,52.1
1.86,3,15.7,45.2
3.38,3,18.1,43.7
7.53,1,15.1,42.4
2.95,1,18.2,37.3
3.99,3,16.2,47.2
11.62,2,12.3,62.2
5.76,2,17.4,46.4
7.81,1,14.2,45.1
7.21,3,7.1,57.7
6.87,3,15.1,58.8
14.27,2,8.6,69.7
4.22,3,11.6,41.9
1.76,2,4.8,22.5
5.06,2,10.0,37.9
3.14,2,15.1,38.9
2.21,2,11.2,28.6
6.78,2,5.5,41.8
2.75,1,8.1,28.6
0.95,1,17.4,26.4
5.07,2,11.3,36.3
4.34,1,14.9,43.2
3.68,2,19.6,42.7
1.26,2,13.9,32.4
5.61,2,13.6,50.9
9.35,1,19.1,59.9
2.08,1,4.6,21.6
5.2,1,14.1,39.4
3.48,1,13.9,30.2
2.67,3,15.1,42.0
5.38,1,14.5,42.5
1.72,1,11.3,30.1
8.84,3,8.8,53.9
3.75,3,18.1,51.0
7.01,1,15.7,52.4
3.37,3,6.1,39.0
2.59,1,9.2,31.1
3.82,3,15.7,44.3
7.03,2,14.8,49.2
8.85,1,11.1,54.1
5.46,1,11.6,43.6
6.82,1,11.7,43.9
9.11,1,14.0,49.7
3.95,2,11.2,41.3
4.47,1,11.8,33.1
8.3,2,8.1,49.9
5.82,3,16.9,62.2
4.58,2,9.0,41.9
6.01,1,11.4,42.3
1.93,3,12.3,37.2
5.17,2,11.0,35.1
3.9,1,7.4,32.7
7.78,2,9.3,48.9
9.24,2,10.9,57.9
3.89,1,3.8,21.4
5.73,1,13.0,40.7
5.84,3,21.7,61.6
7.49,2,9.4,52.5
4.71,2,9.3,37.5
6.46,1,12.7,37.2
2.25,2,9.8,31.6
6.02,2,7.6,42.3
20.0,1,11.7,88.2
5.65,3,9.8,48.6
8.42,1,9.9,50.1
7.29,2,14.9,52.5
2.26,1,12.9,26.1
8.57,1,13.9,52.9
1.21,3,17.0,39.5
1.68,2,14.0,34.3
6.09,2,15.2,52.1
5.91,1,12.0,42.8
5.66,1,15.1,42.3
6.29,2,17.9,54.6
20.0,2,10.3,93.8
9.12,1,13.2,52.6
3.02,1,8.1,23.1
5.54,2,11.2,45.2
4.15,3,11.9,45.4
8.26,3,14.3,61.5
2.66,3,10.6,29.4
0.94,1,17.7,23.3
16.85,3,18.1,86.9
8.61,1,15.4,50.8
2.59,2,20.6,40.0
4.31,2,8.8,34.7
6.28,1,5.1,32.8
5.44,3,10.5,45.8
14.0,1,8.9,60.6
5.19,1,8.6,31.5
1.57,1,10.3,24.6
7.45,2,14.3,53.6
2.93,1,16.9,34.4
2.85,2,11.1,31.6
2.99,2,15.6,38.3
8.29,1,12.1,54.3
8.13,1,12.8,48.5
2.83,2,17.7,38.3
3.03,1,12.3,32.4
6.82,1,13.7,41.3
5.52,1,13.0,37.7
3.04,2,8.9,37.6
1.18,1,15.7,33.7
1.06,1,21.5,33.1
5.38,1,12.4,37.0
4.9,1,16.1,45.7
4.23,2,17.7,45.8
1.06,2,13.4,35.0
7.79,3,13.3,53.0
4.81,2,11.4,39.0
4.57,2,7.6,34.2
6.12,2,10.7,38.3
5.94,1,14.9,33.3
3.32,1,15.5,37.8
10.64,1,8.9,52.2
8.55,2,18.7,59.1
4.23,1,6.0,29.8
6.9,2,8.4,45.1
3.28,2,13.1,39.2
5.26,2,8.2,37.0
10.91,1,11.0,61.6
2.93,2,14.4,38.6
6.69,2,8.4,42.6
4.25,3,7.5,36.5
10.2,3,14.9,67.9
8.35,3,18.3,67.8
4.21,1,12.2,33.0
8.58,2,16.9,57.7
3.44,1,5.8,22.7
5.82,2,9.4,37.8
1.32,3,16.7,48.2
5.22,1,14.7,39.8
5.53,2,12.1,44.8
2.07,2,8.0,35.0
4.19,3,5.6,40.4
3.5,1,15.6,40.2
2.3,2,15.8,31.4
1.03,1,12.7,31.6
2.76,3,14.4,43.2
2.25,1,12.0,34.0
6.91,1,10.3,41.2
5.37,1,9.7,36.5
5.87,1,9.9,41.0
3.32,1,9.1,30.8
4.62,2,17.4,46.9
9.5,3,13.8,67.5
1.18,1,12.4,26.8
6.54,1,17.6,48.4
4.9,2,14.7,46.6
3.21,2,12.8,36.4
5.44,2,13.2,44.8
7.19,2,14.5,57.1
4.92,2,9.7,39.1
3.75,3,13.0,44.2
4.9,3,8.5,42.3
10.08,3,10.0,59.2
4.43,1,11.9,32.6
1.98,2,10.0,35.5
3.98,2,13.8,45.7
2.52,2,13.8,32.3
1.99,3,19.8,47.5
5.71,3,12.9,53.4
9.92,1,14.4,59.5
5.83,1,10.2,39.6
5.06,1,12.3,42.4
2.36,2,12.7,39.6
3.11,1,16.4,28.7
7.9,3,13.3,66.5
3.44,2,11.8,39.9
3.45,1,9.7,34.2
5.39,2,12.8,50.9
5.93,2,15.9,52.1
2.92,3,7.4,34.2
4.64,2,17.3,50.1
1.3,2,12.7,36.0
8.49,1,8.0,45.2
2.96,2,11.5,35.8
7.53,1,16.0,39.0
5.93,1,16.2,45.7
1.7,2,9.2,31.1
3.36,1,11.4,28.3
4.03,3,18.1,47.7
7.28,1,15.4,47.9
6.12,3,19.4,54.3
2.92,1,16.5,37.7
1.87,2,11.4,27.9
7.69,1,13.5,49.2
12.26,1,10.1,55.8
4.04,1,13.6,38.0
3.62,1,16.6,34.4
3.95,2,15.0,43.1
